,Precio,Direccion,Barrio
0,USD 205.000,Patagonia Village H - 23,"Valle Escondido , Córdoba"
1,USD 26.800,Ana Maria Janner al 1227,"General Pueyrredón, Córdoba"
2,USD 110.000,El Oasis - Av Ghandi - Zona Valle Escondido,"Nuevo URCA, Córdoba"
3,USD 670.000,Lomas de la Carolina,"Lomas de la Carolina, Córdoba"
4,USD 120.000,Manantiales,"Prados de Manantiales, Córdoba"
5,USD 165.000,Calmayo 2000,"Jardín Espinosa, Córdoba"
6,USD 124.900,"Terrazas de Manantiales Lote 22, Mzna 0","Centro, Córdoba"
7,USD 51.000,Jujuy 2062,"Alta Córdoba, Córdoba"
8,USD 245.000,AV. REPÚBLICA DE CHINA 1951,"El Collado, Valle Escondido "
9,USD 130.000,Islas del Atlántico sur 4267,"Granja de Funes, Córdoba"
10,USD 150.000,Figueroa y Mendoza 800,"Cerro de las Rosas, Córdoba"
11,USD 123.859,,"Manantiales, Córdoba"
12,USD 163.600,Mñor Lindor Ferreyra 6714,"Argüello, Córdoba"
13,USD 90.000,Perú al 100. Nueva Córdoba. Cba,"Nueva Córdoba, Córdoba"
14,USD 175.000,General Paz 300,"Centro, Córdoba"
15,USD 110.000,Padre Luis Galeano 100 - Complejo Opera Luxury,"Cerro de las Rosas, Córdoba"
16,USD 39.000,Venta Depto de 1 Dormitorio Barrio Alberdi,"Alberdi, Córdoba"
17,Consultar precio,Jardín Espinosa,"Jardín Espinosa, Córdoba"
18,USD 175.000,Gay Lussac,"Villa Belgrano, Córdoba"
19,USD 89.500,Calle Publica Lote / N° 0,"Colinas de Manantiales, Córdoba"
20,USD 69.800,"Departamento en Venta en Nueva Córdoba, 1 Dormitorio, Balcon. Inmejorable Ubicacion","Nueva Córdoba, Córdoba"
21,USD 320.000,RAMON Y CAJAL 5800,"Argüello, Córdoba"
22,USD 45.900,"Aguirre Camara 15- 5""piso","Alto Alberdi, Córdoba"
23,USD 46.000,Duarte Quiros al 5000,"Quebrada de las Rosas, Córdoba"
24,USD 245.000,Botafogo 3860,"Jardín Espinosa, Córdoba"
25,USD 77.267,Fray Mamerto Esquiú 772,"General Paz, Córdoba"
26,USD 110.000,Piotti 6539,"Argüello, Córdoba"
27,USD 498.000,Lomas de la Carolina,"Lomas de la Carolina, Córdoba"
28,USD 240.000,José Esteban Bustos 1500,"Cerro de las Rosas, Córdoba"
29,USD 226.529,General Paz,"General Paz, Córdoba"
30,USD 145.000,Complejo Maitei,"Barrio Privado Chateau Carreras, Córdoba"
31,USD 155.000,Blomberg al 1700,"Maipú, Córdoba"
32,USD 300.000,Gregorio Velez al 4000,"Cerro de las Rosas, Córdoba"
33,USD 520.000,Cañuelas Country Golf,"Cañuelas Country Golf, Córdoba"
34,USD 99.000,ituzaingo 946,"Nueva Córdoba, Córdoba"
35,USD 114.900,José Roque Funes 1900,"Cerro de las Rosas, Córdoba"
36,USD 43.000,Corrientes 200 - CON Escritura,"Centro, Córdoba"
37,USD 81.500,Sucre 2014,"Alta Córdoba, Córdoba"
38,USD 65.000,Hipólito Vieytes 1331,"Los Naranjos, Córdoba"
39,USD 115.000,Sucre,"Cofico, Córdoba"
40,Consultar precio,Illia 100,"Nueva Córdoba, Córdoba"
41,USD 43.500,Viamonte al 1200,"General Paz, Córdoba"
42,USD 85.000,Leon Pinelo al 1600,"Los Naranjos, Córdoba"
43,USD 89.000,Callao al 1500,"Lourdes, Córdoba"
44,USD 161.500,Independencia 750,"Nueva Córdoba, Córdoba"
45,USD 200.000,Ópera Luxury - Padre Luis Galeano al 900,"Las Rosas, Córdoba"
46,USD 78.000,Duarte Quiros al 3800,"Alto Alberdi, Córdoba"
47,USD 80.000,Ibarbalz al 700,"General Paz, Córdoba"
48,USD 360.000,Hermosa Casa B Jardín Espinosa Manco Capac al 3300,"Jardín Espinosa, Córdoba"
49,USD 120.000,Payador Juan Guadalberto Godoy 4967,"Poeta Lugones, Córdoba"
50,USD 98.000,Miradores de Manantiales 1,"Miradores de Manantiales, Córdoba"
51,USD 195.000,Av. Republica de China 1507 LAS Piedras Housing,"Valle Escondido , Córdoba"
52,USD 2.500.000,Casa a la Venta en el Cerro de Las Rosas Sobre la Barranca de Hugo Wast,"Cerro de las Rosas, Córdoba"
53,USD 550.000,Av. Los Alamos 1111,"El Bosque, Córdoba"
54,USD 35.000,Agustin Garzon 3,"San Vicente, Córdoba"
55,USD 209.000,Andrés Blanqui al 4200,"Alejandro Centeno, Córdoba"
56,USD 160.000,Bv. Illia 440,"Nueva Córdoba, Córdoba"
57,USD 59.900,Paranaiba al 2100,"San Nicolás, Córdoba"
58,USD 35.000,Santa Fe 675,"Providencia, Córdoba"
59,USD 135.000,Pedro Minuzzi 133,"General Artigas, Córdoba"
60,USD 420.000,Edmundo Mariotte 6100,"Granja de Funes, Córdoba"
61,USD 105.000,Francisco Antonio Bazán al 7200,"Manantiales, Córdoba"
62,USD 60.000,Lima 1385,"General Paz, Córdoba"
63,USD 28.000,Martín García 700,"San Martín, Córdoba"
64,USD 245.000,Claudio de Arredondo,"Córdoba, Córdoba"
65,USD 43.000,Pasaje Catoira 515,"Alta Córdoba, Córdoba"
66,USD 185.000,GREENVILLE2,"Greenville II, Córdoba"
67,USD 45.000,Barcelona al 2200,"Maipú, Córdoba"
68,USD 550.000,Argañaraz y Murgia (P),"Jardín Espinosa, Córdoba"
69,USD 285.000,La Macarena al 500,"Córdoba, Córdoba"
70,USD 75.650,sol de Mayo esq Luis Agote,"Los Naranjos, Córdoba"
71,USD 125.000,La Catalina,"Córdoba, Córdoba"
72,USD 68.000,General paz 3400,"Alta Córdoba, Córdoba"
73,USD 49.000,Bedoya 990 - Barrio Cofico,"Cofico, Córdoba"
74,USD 62.900,Gral. Güemes al 300,"General Paz, Córdoba"
75,USD 49.500,Av Velez Sasrsfield al 1000,"Nueva Córdoba, Córdoba"
76,USD 45.000,Maipu - Esposos Curie al 1900,"Maipú, Córdoba"
77,USD 34.900,Caseros 3100,"Alto Alberdi, Córdoba"
78,USD 250.000,Manco Capac 3890 1,"Jardín Espinosa, Córdoba"
79,USD 260.000,Villa Warcalde - PRE Venta - Precio Lanzamiento,"Villa Warcalde, Córdoba"
80,USD 850.000,Las Delicias,"Las Delicias, Córdoba"
81,USD 375.000,Av. Valparaíso 4500,"Las Tejas del Sur, Córdoba"
82,USD 150.000,Solares de Manantiales 100,"Solares de Manantiales, Córdoba"
83,USD 105.000,Transito Cáceres de Allende 400,"Nueva Córdoba, Córdoba"
84,USD 75.000,Colinas de Manantiales L22 M65,"Córdoba, Córdoba"
85,USD 89.000,Colinas de Manantiales,"Córdoba, Córdoba"
86,USD 320.000,Casa a la Venta en San Salvador con 3 Terrenos!,"San Salvador, Córdoba"
87,USD 64.990,Balcarce 226,"Nueva Córdoba, Córdoba"
88,USD 75.000,Av del Piamonte 100,"Balcones del Chateau, Córdoba"
89,USD 80.000,"Departamento en Venta en Nueva Córdoba,2 Dormitorios . Refaccionado. A mts de Parque de las Tejas","Nueva Córdoba, Córdoba"
90,USD 170.000,"Greenville 2, O´Higgins 7500","Greenville II, Córdoba"
91,USD 850.000,Altos del Chateau Contemporánea Pileta Climatizada,"Altos del Chateau, Córdoba"
92,USD 110.000,Av. Colón al 4900- Dpto 2 Dormitorios,"Quebrada de las Rosas, Córdoba"
93,USD 500.000,Country Manantiales Lote / N° 0,"Manantiales Country, Córdoba"
94,USD 70.000,ituzaingo 667,"Nueva Córdoba, Córdoba"
95,USD 78.000,Jujuy 100,"Córdoba, Córdoba"
96,USD 115.000,Bv. Chacabuco 750,"Nueva Córdoba, Córdoba"
97,USD 37.500,Viamonte al 1200,"General Pueyrredón, Córdoba"
98,USD 240.000,Tycho Brahe 4690,"Villa Belgrano, Córdoba"
99,USD 112.000,Moderno Duplex de 3 Dormitorios en San Ignacio Village,"San Ignacio Village, Córdoba"
100,USD 125.000,Catamarca 850 -unidad Premium -,"General Paz, Córdoba"
101,USD 97.300,Nicolas Avellaneda 2223,"Alta Córdoba, Córdoba"
102,USD 140.000,Granja DE Funes - Hermosa Casa 3 Dormitorios - Impecable Estado,"Granja de Funes, Córdoba"
103,USD 95.000,Docta boulevard,"DOCTA, Córdoba"
104,USD 600.000,Celso Barrios 1502,"Córdoba, Córdoba"
105,USD 90.000,Manantiales,"Córdoba, Córdoba"
106,USD 360.000,"Casa en Venta Planta Baja! Siete Soles, Heredades! 3 Dormitorios-lote 1500m y Pileta!","Córdoba, Córdoba"
107,USD 240.000,Urca - Comercial! Menendez Pidal 3768,"URCA, Córdoba"
108,USD 150.000,Aconquija 2892,"Jardín, Córdoba"
109,USD 47.000,Baigorri 800 - Posesion Inmediata -,"Alta Córdoba, Córdoba"
110,USD 152.000,Ovidio Lagos al 200,"General Paz, Córdoba"
111,USD 97.000,Catamarca al 1509,"General Paz, Córdoba"
112,USD 140.000,Granja DE Funes - Hermosa Casa 3 Dormitorios - Impecable Estado,"Cerro de las Rosas, Córdoba"
113,USD 104.000,Docta Urbanizacion MZA 46 Lote 14 ET 3 CBA,"Docta Boulevard, DOCTA"
114,USD 114.000,Avenida Cárcano 200,"Altos del Chateau, Córdoba"
115,USD 81.000,Buenos Aires 400,"Nueva Córdoba, Córdoba"
116,USD 190.000,Cañuelas Chico,"Cañuelas Country Golf, Córdoba"
117,USD 96.000,Jardin - Appto Bancor,"Córdoba, Córdoba"
118,USD 470.000,Fortin Del Pozo Lote / N° 0,"Country Fortin del Pozo, Córdoba"
119,USD 120.000,Residencial Velez Sarsfield - Santiago Caceres al 2800,"Colinas de Vélez Sársfield, Córdoba"
