,Precio,Direccion,Barrio
0,USD 38.000,"Departamento en Venta en Barrio Pueyrredon, 1 Dormitorio,balcon, a Estrenar","General Pueyrredón, Córdoba"
1,USD 145.000,Casa en Greenville 2,"Greenville II, Córdoba"
2,USD 43.000,Corrientes 200 - CON Escritura,"Centro, Córdoba"
3,USD 490.000,"Departamento de Categoría a la Venta en Urca con Seguridad, Terrazas de Barranca","Córdoba, Córdoba"
4,USD 35.000,Agustin Garzon 3,"San Vicente, Córdoba"
5,USD 30.000,S/N 0,"16 de Noviembre, Córdoba"
6,USD 320.000,RAMON Y CAJAL 5800,"Argüello, Córdoba"
7,USD 198.000,Jose P Otero 1073,"URCA, Córdoba"
8,USD 205.000,Patagonia Village H - 23,"Valle Escondido , Córdoba"
9,USD 26.000,JUAN RODRIGUEZ 1320,"San Vicente, Córdoba"
10,USD 130.000,Islas del Atlántico sur 4267,"Granja de Funes, Córdoba"
11,USD 800.000,Venta Departamento - Penthouse - Av. Figueroa Alcorta 95v. Figueroa Alcorta 95,"Centro, Córdoba"
12,USD 145.000,Carlos Nicolle 100,"Villa Belgrano, Córdoba"
13,USD 110.000,Piotti 6539,"Argüello, Córdoba"
14,USD 550.000,Argañaraz y Murgia (P),"Jardín Espinosa, Córdoba"
15,USD 280.000,Dpto 3 Dormitorios en Mai Tei,"Barrio Privado Chateau Carreras, Córdoba"
16,USD 30.000,S/N 0,"16 de Noviembre, Córdoba"
17,USD 124.000,Calmayo 2000,"Jardín Espinosa, Córdoba"
18,USD 620.000,Lomas DE LA Carolina,"Lomas de la Carolina, Córdoba"
19,USD 165.000,Nores Martinez 2700,"Jardín, Córdoba"
20,USD 650.000,Las Delicias,"Las Delicias, Córdoba"
21,USD 800.000,Venta Departamento - Penthouse - Av. Figueroa Alcorta 95v. Figueroa Alcorta 95,"Centro, Córdoba"
22,USD 68.000,General paz 3400,"Alta Córdoba, Córdoba"
23,USD 498.000,Casa en Venta de 4 Dormitorios en Country del Jockey. Con Pileta. Fondo Golf. Oportunidad,"Jockey Club, Córdoba"
24,USD 123.859,,"Manantiales, Córdoba"
25,USD 98.000,Av. Sagrada Familia 451,"Alto Alberdi, Córdoba"
26,USD 35.000,Agustin Garzon 3,"San Vicente, Córdoba"
27,USD 150.000,Camino San Carlos al 6100,"Greenville II, Córdoba"
28,USD 120.000,Condor Alto Housing Privado - Villa Allende,"Córdoba, Córdoba"
29,USD 82.660,Casona de los Arcos 1,"Manantiales, Córdoba"
30,USD 155.000,Cap. Castagnari al 5700,"Tejas II, Córdoba"
31,USD 76.500,Felix Frias 80,"General Paz, Córdoba"
32,USD 75.650,sol de Mayo esq Luis Agote,"Los Naranjos, Córdoba"
33,USD 240.000,José Esteban Bustos 1500,"Cerro de las Rosas, Córdoba"
34,USD 185.000,Casa a Estrenar en La Calandria. Terreno 360m2,"La Calandria, Córdoba"
35,USD 88.000,Pampas al 7600,"Argüello, Córdoba"
36,USD 190.000,Cañuelas Chico,"Cañuelas Country Golf, Córdoba"
37,USD 51.000,Jujuy 2062,"Alta Córdoba, Córdoba"
38,USD 245.000,Botafogo 3860,"Jardín Espinosa, Córdoba"
39,USD 82.660,Casona de los Arcos 1,"Manantiales, Córdoba"
40,USD 249.000,Jose A. Cabrera 5600,"Córdoba, Córdoba"
41,USD 174.000,Manantiales I - La Serena,"Manantiales, Córdoba"
42,USD 420.000,Villa Belgrano,"Villa Belgrano, Córdoba"
43,USD 115.000,Sucre,"Cofico, Córdoba"
44,USD 490.000,Jose Roque Funes 1000,"URCA, Córdoba"
