,Precio,Direccion,Barrio,Latitud,Longitud,Distancia_a_Cordoba_km
0,245000.0,AV. REPÚBLICA DE CHINA 1951,"El Collado, Córdoba, Provincia de Córdoba",-31.36605725,-64.28112894990115,10.875628547993143
1,675000.0,Avenida Republica de China,"El Collado, Córdoba, Provincia de Córdoba",-31.36605725,-64.28112894990115,10.875628547993143
2,145000.0,Complejo Maitei,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
3,110000.0,Ramón Cárcano al 280,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
4,690000.0,Costa Verde Country,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
5,162000.0,Calandria 151,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
6,158000.0,Calandria 150,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
7,60000.0,Av. Ramon Carcano al 1000,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
8,160000.0,Livette Chateau Cordoba,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
9,140000.0,Ramon Carcano al 200,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
10,280000.0,Dpto 3 Dormitorios en Mai Tei,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
11,115000.0,Paloma al 700,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
12,95000.0,Av. Carcano al 200,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
13,79000.0,Venta en Barrio Balcones del Chateau,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
14,114000.0,Mirlo 400,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
15,88000.0,Balcones del Chateau Venta 3 Dormitorios con Cochera,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
16,320000.0,Av Colón al 6200,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
17,75000.0,Ramón Cárcano 1000 2°,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
18,72000.0,Balcones DEL Chateau - AV Carcano,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
19,75000.0,Venta 1 Dormitorio con Cochera!!! Complejo Alto Villasol!!!,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
20,57000.0,Av. Colon al 6200,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
21,125000.0,Mirlo 400,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
22,95000.0,Av. Colon al 6200,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
23,130000.0,"Harmonie Chateau, Departamento en Venta","chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
24,80000.0,Avenida del Piamonte 1005,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
25,128000.0,Calandria 100 3°,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
26,110000.0,Ramon Carcano 1000 3°,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
27,90000.0,"Duplex - Terraforte 1 - Piso 17 y 18. - Tipologia ""C"" (La más Grande)","chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
28,260000.0,Complejo Mai Tei,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
29,120000.0,Ramon Carcano 1000 2°,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
30,220000.0,La Rioja 6100,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
31,89000.0,Departamento en Venta 3 Dormitorios Cochera Complejo Córdoba IV Chateau Carreras,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
32,78000.0,Balcones DEL Chateau - AV Carcano,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
33,75000.0,Avenida Carcano al 1000,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
34,80000.0,Av Dr R J Carcano 900 PB,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
35,80000.0,Ramon J Carcano 1000 4°,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
36,165000.0,Av. Carcano 200,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
37,90000.0,Ramon Carcano al 1000,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
38,150000.0,RAMON CARCANO 200,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
39,120000.0,Chateau Carreras - Carcano 251,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
40,105000.0,Chateau Carreras - Torre de los Militares,"chateau carreras, córdoba, provincia de córdoba",-31.3851235,-64.2587292,8.029679030550152
41,375000.0,Av. Valparaíso 4500,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
42,198000.0,Tejas Del Sur,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
43,235000.0,Mario Flores 4200,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
44,180000.0,"Dpto 3 Dorm en Venta, B° Tejas Residencial, Tejas del Sur","tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
45,195000.0,Los Pontones 200,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
46,210000.0,MARTIN amengual 600,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
47,220000.0,Jardin de las Terjas - Jose Enrique Ordoñez al 200,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
48,300000.0,VALPARAÍSO 4250,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
49,230000.0,"Mario Flores 4278, Tejas del Sur","tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
50,195000.0,Guillermo Nasif 1000,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
51,155000.0,Los Pontones Introva 5000,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
52,265000.0,Tejas dos,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
53,280000.0,Tejas del Sur 1 Excelente Ubicacion al Frente Colegio San Patricio y Centro Comercial,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
54,235000.0,MARIO FLORES 4465,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
55,140000.0,"Fontanas del Sur, Bunge 4400","tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
56,260000.0,GUILLERMO FENOGLIO 4350,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
57,260000.0,Tejas DE SUR - Frente A Plaza - PB,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
58,108000.0,Bunge al 4400,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
59,280000.0,Tejas Del Sur,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
60,260000.0,Ing Amengual 300,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
61,175000.0,Chacras del sur,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
62,190000.0,Chacritas Housing,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
63,350000.0,ramon acosta 600,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
64,166000.0,Tejas del Sur 4,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
65,250000.0,Roberto Amengual 619,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
66,185000.0,Duplex a Estrenar,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
67,95000.0,Tejas 4 - Gran Oportunidad - Casa 3 Dorm - Imperdible!!!,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
68,110000.0,Fontanas del Sur 0,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
69,130000.0,Bunge al 4400,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
70,300000.0,Tejas del Sur I,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
71,280000.0,Tejas del Sur,"tejas del sur, córdoba, provincia de córdoba",-31.4623109,-64.1899159,5.477243505490205
72,75000.0,Colinas de Manantiales L22 M65,"colinas de manantiales, provincia de córdoba",-31.4791795,-64.2666078,10.916757695926698
73,112000.0,Moderno Duplex de 3 Dormitorios en San Ignacio Village,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
74,115000.0,Av Armada Argentina 5700,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
75,198000.0,san Ignacio,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
76,115000.0,Armada Argentina 5000,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
77,108000.0,"Dúplex en Venta en San Ignacio Village. 3 dor y 3 Baños , Patio y Asador","Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
78,210000.0,Lo Mejor de San Ignacio Village en Manantiales. Seguridad 24 hs.,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
79,109000.0,Armada Argentina 3950,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
80,125000.0,San Ignacio Village,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
81,198000.0,Armada Argentina 3500,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
82,110000.0,San Ignacio Village,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
83,102000.0,s/n 0,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
84,98000.0,San Ignacio Village,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
85,105000.0,San Ignacio Village,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
86,118000.0,Ruta AV KM 5,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
87,110000.0,Venta Duplex (3) Dorm. San Ignacio Village Córdoba,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
88,90000.0,San Ignacio Lote / N° 0,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
89,85000.0,Armada Argentina 4100,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
90,195000.0,barrio san ignacio village 100,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
91,120000.0,Avenida Armada Argentina 5700,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
92,109000.0,San Ignacio Village 000,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
93,68000.0,SAN Ignacio Village - 2 Dorm - Imperdible!,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
94,70000.0,San Ignacio Village,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
95,115000.0,Armada Argentina 3900,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
96,99000.0,SAN Ignacio Village,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
97,100000.0,San Ignacio Village,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
98,72000.0,San Ignacio Village,"Av Armada Argentina 5700, córdoba, provincia de córdoba",-31.4507559,-64.2012261,4.554449003319948
